	place	lon	lat
431	石津神社	34.5544	135.462258
432	坐摩神社	34.68094	135.49859
433	生國魂神社	34.6651194	135.5128572
434	海神社	34.6289824	135.0543217
435	賣布神社	35.46653	133.058815
436	寶塚神社	34.794296	135.35114
437	湊川神社	34.6814653	135.175607
438	松原八幡神社	34.785514	134.70619
439	廣田神社	34.75249760000001	135.3405726
440	東天神社	34.782445	135.397928
441	西天神社	34.779549	135.3918543
442	西宮神社	34.7357274	135.3345779
443	長田神社	34.6714215	135.146871
444	多田神社	34.861243	135.4027124
445	宗佐厄神八幡神社	34.784348	134.923697
446	住吉神社	33.5859211	130.4136737
447	生石神社	34.782533	134.795182
448	伊和都比売神社	34.7274263	134.4081723
449	伊和神社	35.0875599	134.5864722
450	豬名野神社	34.7844783	135.4154568
451	射楯兵主神社	34.8340723	134.6966226
452	魚吹八幡神社	34.7965891	134.5904465
453	出石神社	35.4819468	134.8702865
454	伊弉諾神宮	34.4600042	134.8524728
455	生田神社	34.694832	135.190692
456	岡田神社	33.8615621	130.7673159
457	鏡作神社	34.56155	135.79409
458	竜穴神社	34.5346893	136.0470228
459	吉水神社	34.3672776	135.8619503
460	吉野水分神社	34.3539457	135.8731654
461	吉野神宮	34.3848659	135.8454431
462	玉置神社	33.92486239999999	135.8305476
463	夜支布山口神社	34.70293460000001	135.9293956
464	六県神社	34.888457	135.805945
465	辯才天信仰、宗像三神	 	 
466	天河神社	34.2233415	135.8416676
467	広瀬大社	34.5915596	135.7484113
468	檜原神社	34.5287774	135.8530015
469	氷室神社	34.687703	135.155893
470	兵主神社	35.1152975	136.0101103
471	一言主神社	36.012224	139.927148
472	脳天大神	34.3679443	135.8552099
473	丹生川上神社	34.3902608	135.9864416
474	談山神社	34.4658783	135.8612923
475	手向山八幡宮	34.6879442	135.844644
476	龍田大社	34.5930885	135.6873115
477	高天彥神社	34.4180605	135.6959513
478	高鴨神社	34.408214	135.707614
479	狹井神社	34.5309756	135.8540371
480	源九郎稲荷神社	34.64556	135.7855735
481	金峰神社	34.3425952	135.8818235
482	漢國神社	34.68354	135.8254373
483	勝手神社	34.3646916	135.8625238
484	橿原神宮	34.4883529	135.7869721
485	鏡作神社	34.56155	135.79409
486	柿本神社	34.6500118	135.0018033
487	大和神社	34.5710501	135.8376256
488	大神神社	34.5287774	135.8530015
489	采女神社	34.681892	135.8302065
490	石床神社	34.621892	135.6945182
491	石上神宮	34.598039	135.851938
492	往馬神社	34.6783416	135.7036503
493	率川神社	34.6812828	135.8257332
494	天乃岩立神社	34.7271016	135.9591758
495	飛鳥坐神社	34.479735	135.8227354
496	十二神社	34.8300484	134.6862694
497	藤白神社	34.144981	135.208992
498	日前神宮	34.2289913	135.2028029
499	丹生官省符神社	34.29431	135.549427
500	丹生都比売神社	34.2627276	135.5220127
501	熊野神社	37.8647478	140.5546804
502	熊野速玉大社	33.7317956	135.9836435
503	熊野本宮大社	33.8405324	135.7736192
504	熊野那智大社	33.6688052	135.8898601
505	國懸神社	34.2289913	135.2028029
506	竈山神社	34.201004	135.204498
507	伊太祁曽神社	34.2016912	135.2499196
508	-----55東南66-----	 	 
509	心齋橋	34.6750572	135.5003772
510	道頓堀	34.6687235	135.5012953
511	美國村	26.316402	127.7572981
512	歐洲村商店地下街	 	 
513	梅田空中庭園	34.7052509	135.4903263
514	環球影城	34.13811680000001	-118.3533783
515	哲學之道	35.0214836	135.7942056
516	祇園	34.4394563	132.4632895
517	花見小路	35.0051147	135.7751847
518	白川堤岸	 	 
519	嵐山	35.009449	135.666773
520	渡月橋	35.0128798	135.6777583
521	野宮神社	35.0177597	135.6742103
522	竹林步道	25.1321675	121.5417571
523	清水寺	34.9948561	135.7850463
524	地主神社	34.9952134	135.7850146
525	二寧坂	34.998122	135.7808431
526	產寧坂商店古街	34.9963353	135.7808581
527	伏見稻荷神社	34.9671402	135.7726717
528	奈良公園	34.685047	135.843012
529	東大寺	34.6889851	135.8398158
530	夙川公園	34.7355598	135.3289578
531	大阪造幣局	34.6959158	135.5217337
532	神戶港	34.68263	135.1866995
533	摩賽克廣場	34.6802841	135.1842695
534	關西空港	34.4320024	135.2303939
535	二条城	35.0142299	135.748218
536	高台寺	35.000768	135.781112
537	圓山公園	25.0707535	121.5204805
538	大阪城公園	34.6823301	135.5306297
539	醍醐寺	34.951024	135.819563
540	仁和寺	35.03109370000001	135.7138198
541	玩具博物館	25.0239835	121.4518351
542	有馬溫泉	34.8	135.25
543	太閣橋	24.1438268	121.6440753
544	林溪寺	22.5095953	120.3983793
545	善福寺	35.653565	139.732826
546	櫻之星光大道	 	 
547	三寶院	34.95229	135.819298
548	御堂筋	34.683598	135.5007813
549	平安神宮	35.0159823	135.7824263
550	平安神宮神苑	35.0159823	135.7824263
551	保津川峽谷	34.8833333	135.6833333
552	嵐山駅	35.0152307	135.6777439
553	龜岡駅	35.0166895	135.5824658
554	金閣寺	35.03937	135.7292431
555	北野異人館	34.6988804	135.1892972
556	萌黃館	34.7009691	135.1892665
557	琵琶湖	35.3456394	136.1709012
558	雄琴溫泉	35.097791	135.895289
559	MIHO美秀美術館	34.914866	136.016165
560	宇治平等院	34.8892908	135.8076783
561	鳳翔館	34.8886992	135.8073951
562	MIHO美術館	34.914866	136.016165
563	春日大社	34.6813804	135.8483856
564	伏見稻荷神社	34.9671402	135.7726717
565	明石大橋	34.6174683	135.0216751
566	舞子海上玻璃步道	34.630729	135.032968
567	阿倍野HARUKAS	34.6457738	135.5142432
568	河原町不夜城	35.003751	135.7687486
569	西陣織會館	35.028764	135.751674
570	娃娃街	 	 
571	河原町	35.003751	135.7687486
572	布引香草花園	34.710075	135.19378
573	香草花園	22.9222633	120.4956242
574	京都車站	34.985849	135.7587667
575	南波車站	 	 
576	新大阪車站	34.7331654	135.5002144
577	梅田車站	34.703945	135.4976704
578	伏見稻荷車站	34.9667789	135.7708337
579	格子之家	34.675011	135.830736
580	天橋立	35.5698022	135.1918204
581	姬路城	34.839449	134.6939047
582	美山町	35.9991749	136.3610293
583	美山町北村	35.3110178	135.6218781
584	茅葺之里	35.3130509	135.625164
585	美山合掌村	36.2560756	136.9061796
586	丹後天橋立大江山國立公園	35.5671538	135.1898732
587	智恩寺	35.5587127	135.1838895
588	海遊館	34.6545182	135.4289645
589	六甲山人工滑雪場	34.767938	135.2425658
590	彥根城	35.276452	136.251846
591	夢京橋衛城道	 	 
592	井伊直政銅像	 	 
593	玄宮園	35.27789000000001	136.2539424
594	近江八幡	35.1283386	136.0979067
595	信樂車站	34.877209	136.061337
596	信樂町	34.877209	136.061337
597	信樂陶藝村	34.877209	136.061337
598	草津宿本陣	35.017786	135.960255
599	白雲館	35.1394537	136.0910172
600	日牟禮八幡宮	35.1410454	136.0896327
601	琵琶湖山谷	35.3456394	136.1709012
602	比叡山	35.0689027	135.8303282
603	延曆寺	35.0704634	135.8411275
604	浮御堂	35.1098513	135.9215934
605	白髭神社	35.2745234	136.0110466
606	太郎坊	35.11813	136.182437
607	阿賀神社	35.11813	136.182437
608	海津大崎	35.4496526	136.0876132
609	永源寺	35.0806028	136.3196
610	琵琶湖博物館	35.074246	135.935022
611	安土城跡	35.1559192	136.1394056
612	三井寺	35.0133609	135.8528507
613	園城寺	35.0133609	135.8528507
614	石山寺	34.960875	135.9074343
615	日吉大社	35.0729128	135.8650648
616	黑壁SQUARE	35.38065479999999	136.2670688
617	竹生島	35.42319579999999	136.1440677
618	八幡堀	35.1397044	136.0899624
619	甲賀之里	34.9197	136.207457
620	金剛輪寺	35.16123890000001	136.2830541
621	西明寺	34.771251	136.1460843
622	百濟寺	35.12688929999999	136.2887266
623	長命寺	35.162737	136.0639489
624	琵琶3湖大津館	35.02676150000001	135.8676948
625	第一渚公園	35.126764	135.9504404
626	雞足寺	27.989688	114.814183
627	高野山	34.2166667	135.5833333
628	伊都郡高野町	34.2160686	135.5865362
629	奥之院	32.9636487	130.5295173
630	和歌山城	34.227617	135.171464
631	熊野古道	34.4631109	136.5653975
632	熊野三山	33.7317956	135.9836435
633	金剛峯寺	34.214149	135.584109
634	海釣公園	34.1513699	135.1808923
635	加太瀬戶内海國立公園	 	 
636	深山要塞	34.2963469	135.0719562
637	白濱御苑	33.6883285	135.3541913
638	白良濱海岸	 	 
639	圓月島	33.6900738	135.3364399
640	潮岬	33.4479784	135.7614191
641	橋杭岩	33.4882874	135.7957568
642	大門坂	33.6712451	135.8974725
643	熊野那智大社	33.6688052	135.8898601
644	熊野速玉大社	33.7317956	135.9836435
645	神倉神社	33.7222073	135.9827806
646	熊野本宮大社	33.8405324	135.7736192
647	大齋原	33.8405324	135.7736192
648	那智大瀑布	33.6753307	135.8876181
649	壺湯	33.8293221	135.7577832
650	淡嶋神社	34.2736806	135.066521
651	丹生都比賣神社	34.2627276	135.5220127
652	瀞峽	33.9128386	135.8972695
653	奇絶峽	33.7814354	135.4125864
654	井出商店	34.2284871	135.1894929
655	龍神溫泉	33.956321	135.5621148
656	勝浦溫泉	33.628121	135.941836
657	白濱溫泉	33.6759926	135.33736
658	三段壁洞窟	33.6654688	135.3352209
659	歐羅巴港	 	 
660	和歌山游艇城	34.1536622	135.1758928
661	黑潮市場	34.1536622	135.1758928
662	紀三井寺	34.185173	135.190027
663	田邊溫泉	33.8405324	135.7736192
664	串本海中公園	33.4808274	135.7448937
665	雜賀崎	34.1882212	135.1409305
666	奥和歌浦	 	 
667	和歌浦天滿宮	34.191615	135.164237
668	千疊敷	40.767741	140.054979
669	戶津井鍾乳洞	 	 
670	紀之松島	38.3555556	141.0763889
671	和歌山縣立近代美術館	34.225095	135.171242
672	ぶらくり丁	26.2634686	92.58172719999999
673	紀州東照宮	34.1926349	135.1656786
674	伊勢神宮内宮	34.4551602	136.7251873
675	伊勢神宮外宮	34.4863836	136.7047831
676	上野城	34.770164	136.12711
677	伊賀流忍者博物館	34.7717255	136.1291159
678	芭蕉翁記念館	34.7698951	136.1296853
679	津城	34.7177027	136.5085091
680	松阪城跡	34.5760573	136.5255706
681	本居宣長舊宅	 	 
682	本居宣長記念館	34.575043	136.525324
683	松阪城	34.5760573	136.5255706
684	御城番屋敷	34.5745323	136.5269929
685	桑名宗社	35.065463	136.694635
686	熊野古道伊勢路	33.8940019	136.1071812
687	椿大神社	34.9643812	136.4516835
688	齋宮歷史博物館	34.5428489	136.6096279
689	鬼ヶ城	33.89043729999999	136.1161605
690	竹田城跡	35.3006044	134.8291681
691	姬路城	34.839449	134.6939047
692	有馬溫泉	34.8	135.25
693	三津森本舖	34.797891	135.24741
694	白鶴造酒館	34.7101866	135.2616533
695	須磨寺	34.6497464	135.1117864
696	相樂園	34.6925792	135.1817718
697	生田神社	34.694832	135.190692
698	北野町廣場	34.7012296	135.189697
699	北野天滿宮	35.0314012	135.7351215
700	神戶塔	34.68263	135.1866995
701	須磨浦公園	34.6385252	135.1023496
702	好古園	34.8379444	134.6897542
703	鶴林寺	34.7522857	134.832586
704	明石城	34.6528009	134.9917886
705	明石公園	34.6538557	134.9939901
706	明石魚之棚	34.647184	134.992332
707	移情閣	34.630154	135.034399
708	若松公園	34.6555831	135.1439515
709	鐵人28號	 	 
710	新嘗甜商店街	 	 
711	三國誌花園	 	 
712	中宮寺	34.614967	135.739576
713	金剛寺	34.4286309	135.5292749
714	般若寺	34.7000905	135.8361683
715	長谷寺	35.3124645	139.5330634
716	春日大社	34.6813804	135.8483856
717	室生寺	34.5365849	136.0395546
718	石光寺	34.523289	135.695229
719	談山神社	34.4658783	135.8612923
720	當麻寺	34.5160956	135.6946375
721	壺阪寺	34.426419	135.8098837
722	矢田寺	34.6495602	135.7365167
723	瀧谷花菖蒲園	34.5664918	136.0401803
